	magnā vōce; in a loud voice; 4
	magnō rīsū; with a loud laugh; 13
malus, -a, -um; bad; 21
	nihil malī; nothing of a bad thing, there is nothing wrong; 21
mandātum, -ī, n.; order, instruction; 22
māne, adv.; early in the day, in the morning; 21
maneō, manēre, mānsī, mānsus; to remain, stay, wait (for); 9, 20, 23
manus, -ūs, f.; hand; 18, 25 •
mappa, -ae, f.; napkin, white cloth; 27
māter, mātris, f.; mother; 6, 11
maximus, -a, -um; greatest, very great, very large; 23
mē; me; 4
	mēcum; with me; 9
medius, -a, -um; middle, middle of; 20
	media nox, mediae noctis, f., midnight; 20
Megara, -ae, f.; Megara (a city in Greece); 21
Mehercule! interj.; By Hercules!; 18
melior, melius, gen. meliōris; better 19
mercātor, mercātōris, m.; merchant; 22
mēta, - ae, f.; mark, goal, turning post; 27
metus, -ūs, m.; fear; 26
meus, -a, -um; my, mine; 7
mihi; for me, to me; 8
mīles, mīlitis, m.; soldier; 20
mille; a thousand; 15
Minime!; No! Not at all!; 3, 13
mīrus, -a, -um; wonderful, marvelous, strange; 23
miser, misera, miserum; unhappy, miserable, wretched; 9
mittō, mittere, mīsī, missus; to send; 9, 20
modo, adv.; only; 18
mōlēs, mōlis, gen. pl., mōlium, f.; mass, huge bulk; 24
molestus, -a, -um; troublesome, annoying; 4
molestus, -ī, m.; pest; 3
mōns, montis, gen. pl., montium, m.; mountain, hill; 24
Mōns Vesuvius, Montis Vesuviī, m.; Mount Vesuvius (a volcano in southern Italy); 26
mōnstrō, -āre, -āvī, -ātus; to show; 22
mors, mortis, gen. pl., mortium, f.; death; 21
mortuus, -a, -um; dead; 16
moveō, movēre, mōvō, mōtus; to move; 14, 24
mox, adv.; soon, presently; 6, 13
mulier, mulieris, f.; woman; 27
multī, -ae, -a; many; 3
multitudo, multitudinis, f.; crowd; 23
murmur, murmuris, n.; murmur, rumble; 15
mūrus, -ī, m.; wall; 23
mūs, mūris, m.; mouse; 21
mussō, -āre, -āvī, -ātūrus; to mutter; 11
nam, conj.; for; 8
nārrātor, nārratōris, m.; narrator; 8
nārrō, -āre, -āvī -ātus; to tell (a story); 20
	nārrātus, -a, -um; told; 20
-ne; (indicates a yes or no question); 3
Neāpolis, Neāpolis, f.; Naples; 15
necesse, adv. or indeclinable adj.; necessary; 6
necō, -āre, -āvī, -ātus; to kill; 20

nēmō, nēminis, m./f.; no one; 9
neque, conj.; and ... not; 6
neque ... neque, conj.; neither ... nor; 5
nesciō, -īre, -īvī, -itus; to be ignorant, not to know; 9
nihil; nothing; 4
      nihil malī; nothing of a bad thing, there is nothing wrong; 21
nisi, conj.; unless, if. .. not, except; 18, 26
nōbīs; for us, to us; 9
nobīscum; with us; 16
noceō, -ēre, -uī, -ītūrus (+ dat.); to do harm (to), harm; 26
nocte; at night; 12
noctūrnus, -a, -um; happening during the night; 22
nōlō, nōlle, nōluī, irreg.; not to wish, not to want, to be unwilling; 5, 17, 21
Nōlī/Nolīte (+ infin.); Don't .. . !; 9
nōmen, nōminis, n.; name; 1, 15
nōmine; by name, named; 1
nōn, adv.; not; 2, 13
nōn iam, adv.; no longer; 2, 13
nōndum, adv.; not yet; 6, 13
Nōnne … ?; Surely ... ? (introduces a question that expects the answer “yes”); 19
nōnnumquam, adv.; sometimes; 26
nōnus, -a, -um; ninth; 16
nōs; we, us; 8, 27
noster, nostra, nostrum; our; 14, 27
novem; nine; 15
novus, -a, -um; new; 16
nox, noctis, gen. pl., noctium, f.; night; 11
      illā nocte; that night; 11
      media nox; midnight; 20
	nocte; at night; 12
nūbēs, nūbis, gen. pl., nubium, f.; cloud; 15
nūllus, -a, -um; no, not any; 9
numerus, -ī, m.; number; 11
numquam, adv.; never; 20
nunc, adv.; now; 6, 13
nūntius, -ī, m.; messenger; 7
ō, interj.; used with vocative and in exclamations 9
Ō mē miseram!; Poor me! Oh dear me!; 9
obdormiō, -īre, -īvī, -itūrus; to go to sleep; 21
obēsus, -a, -um; fat; 18
observō, -āre, -āvī, -ātus; to watch; 6
occupātus, -a, -um; busy; 7 
occurrō, occurrere, occurī, occursūrus (+ dat.); to meet, encounter; 24
octō; eight; 15
oculus, -ī, m.; eye; 26
olfaciō, olfacere, olfēcī, olfactus; to catch the scent of, smell, sniff; 12
olim, adv.; once (upon a time); 18
olīvētum, -ī, n.; olive grove; 14, 15
omnis, -is, -e; all, the whole, every, each; 6, 18
      omnēs; all, everyone; 6
      omnia quae; everything that; 6
onus, oneris, n.; load, burden; 15
oppressus, -a, -um; crushed; 25
optimus, -a, -um; best, very good; 20
      vir optime; sir; 20
ōrātiō, ōrātiōnis, f.; oration, speech; 26
      ōrātiōnem habēre; to deliver a speech; 26
orātor, orātōris, m.; orator, speaker; 22
os, ossis, n.; bone; 18
Palatīnus, -a, -um; Palatine, belonging to the Palatine Hill; 24
palla, -ae, f.; palla; 10
parātus, -a, -um; ready, prepared; 10
parēns, parentis, m./f.; parent; 11
parō, -āre, -āvī, -ātus; to prepare, get ready; 5, 20
      sē parāre; to prepare oneself, get ready; 22
pars, partis, gen. pl., partium, f.; part, direction, region; 13
parvulus, -a; -um; small, little; 26
pater, patris, m.; father; 6, 11
patrōnus, -ī, m.; patron; 25
patruus, -ī, m.; uncle; 22
paulisper, adv.; for a short time; 20
